"LOCATION,""INDICATOR"",""SUBJECT"",""MEASURE"",""FREQUENCY"",TIME,""Value"",""Flag Codes"""
"GRC,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2011"",96.682,"
"GRC,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2012"",103.093,"
"GRC,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2013"",102.722,"
"GRC,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2014"",103.475,"
"GRC,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2015"",98.332,"
"GRC,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2016"",93.533,"
"HUN,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2005"",,""M"""
"HUN,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2010"",,""M"""
"HUN,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2011"",,""M"""
"HUN,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2012"",,""M"""
"HUN,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2013"",84.45,"
"HUN,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2014"",88.928,"
"HUN,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2015"",86.297,"
"HUN,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2016"",86.4,"
"HUN,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2005"",,""M"""
"HUN,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2010"",,""M"""
"HUN,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2011"",,""M"""
"HUN,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2012"",,""M"""
"HUN,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2013"",83.143,"
"HUN,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2014"",86.388,"
"HUN,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2015"",86.072,"
"HUN,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2016"",85.492,"
"HUN,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2005"",,""M"""
"HUN,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2010"",,""M"""
"HUN,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2011"",,""M"""
"HUN,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2012"",,""M"""
"HUN,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2013"",85.704,"
"HUN,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2014"",91.523,"
"HUN,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2015"",86.528,"
"HUN,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2016"",87.341,"
"ISL,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2005"",,""M"""
"ISL,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2010"",,""M"""
"ISL,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2011"",,""M"""
"ISL,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2012"",,""M"""
"ISL,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2013"",123.902,"
"ISL,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2016"",118.275,"
"ISL,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2005"",,""M"""
"ISL,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2010"",,""M"""
